run_id	metric	predicted_value	predicted_direction	confidence	actual_value	signal	runtime_s	status	description
entropy-ablation-v0	clarityloop_falseCommit_pp_delta	0	match-baseline	high	0	confirm	2	keep
entropy-ablation-v0	clarityloop_safeCompletion_pp_delta	0	match-baseline	high	0	confirm	2	keep
entropy-regime-v1	diffuse_falseCommit_entropyON	0	beat-baseline	high	33.3	disconfirm	1	keep	SURPRISE: at shipped threshold 0.3 entropy leaks 33% of diffuse cases (D1=.275,D6=.287 fall below) -> calibration failure, matches lit 2603.06317. At calibrated 0.225-0.275 -> 0% (confirm).
entropy-regime-v1	diffuse_falseCommit_entropyOFF	100	regress	high	100	confirm	1	keep	entropy-OFF (ablated) commits all diffuse cases -> 100% false commit; no hard branch catches diffuse soft uncertainty. Entropy IS load-bearing in this regime.
entropy-regime-v1	entropy_vs_simplecount_pp	0	match-baseline	medium	33.3	disconfirm	1	keep	SURPRISE: not equivalent. Calibrated entropy STRICTLY DOMINATES count>=2 (0%/0% vs 0%/33% over-escalation): weighting separates diffuse-doubt(D>=.275) from minor-pileup(W<=.20), a count cannot.
entropy-calibration-v1	heldout_acc_weighted_vs_count_pp	0	beat-baseline	medium	20	confirm	1	keep	NON-circular: τ tuned on calib half, materiality GT independent of weights. Held-out: weighted 98.3% vs count 78.3% vs ablated-off 28.3%. Weighting encodes materiality, generalizes.
robustness-v1	clarityloop_falseCommit_vs_entropy_knob	0	match-baseline	high	0	confirm	5	keep	bench headline 86%/0%/22% INVARIANT across τ in {0.1,0.2,0.3,0.5,0.9}. Entropy decorative on realistic load is robust to the knob.
adversarial-emission-v1	falseCommit_emit_corrupt_pct	0	match-baseline	medium	17	partial	1	keep	Corrupting model self-report defeats only 1/6 (fraud_risk, the lone self-report-only defense); 5/6 survive via independent verifiers. Trust boundary = extraction layer.
adversarial-emission-v1	falseCommit_extract_corrupt_pct	100	regress	high	67	partial	1	keep	Corrupting verifier/extraction layer defeats 4/6 -> guarantee reduces to extraction integrity (as any gate). Honest limitation + design rule: re-derive, never self-report.
emission-robustness-v1	falseCommit_at_p10_extract_pct	5	beat-baseline	medium	2.4	confirm	3	keep	NON-CIRCULAR spine. n=36k/point, Wilson CI<1pt. Graceful linear decay: ~2% false-commit at 10% emission infidelity (not a cliff).
emission-robustness-v1	falseCommit_at_p100_extract_vs_emit_pp	0	unclear	low	16.7	disconfirm	3	keep	SURPRISE: channels not equal at full corruption. extract 38.9% vs emit 22.2% -> more defenses on extract channel; redundant cases (7/18) immune to single-channel corruption.
